in s,C1 in V,C2 in V,C3 in V
-1.0913868E-02,1.882629777727E-02,-8.38832892431E-01,3.671738247653E-02
-1.0913684E-02,1.883117690406E-02,-8.39231840754E-01,3.671626973232E-02
-1.0913500E-02,1.883163445353E-02,-8.38695308147E-01,3.671731615705E-02
-1.0913316E-02,1.883061601155E-02,-8.39090719772E-01,3.671761431998E-02
-1.0913132E-02,1.883127303169E-02,-8.39032235043E-01,3.671834679587E-02
-1.0912948E-02,1.882836908757E-02,-8.39561091224E-01,3.671918951241E-02
-1.0912764E-02,1.883295874184E-02,-8.39665345801E-01,3.671956768060E-02
-1.0912580E-02,1.883061558081E-02,-8.39074721979E-01,3.672016710775E-02
-1.0912396E-02,1.883223553261E-02,-8.38678795798E-01,3.672080226043E-02
-1.0912212E-02,1.883040155474E-02,-8.39301154437E-01,3.672043734962E-02
-1.0912028E-02,1.883008325546E-02,-8.39364021039E-01,3.671917588251E-02
-1.0911844E-02,1.883208420783E-02,-8.39253205294E-01,3.671887006877E-02
-1.0911660E-02,1.883686827569E-02,-8.39005578263E-01,3.671873621909E-02
-1.0911476E-02,1.883599913519E-02,-8.39108966710E-01,3.671871179516E-02
-1.0911292E-02,1.883708800728E-02,-8.39421909722E-01,3.671711296575E-02
-1.0911108E-02,1.884040949124E-02,-8.39162496803E-01,3.671830073731E-02
-1.0910924E-02,1.883550479150E-02,-8.39554502116E-01,3.671841912238E-02
-1.0910740E-02,1.883773839174E-02,-8.39292288246E-01,3.671781612361E-02
-1.0910556E-02,1.883381816515E-02,-8.39831014117E-01,3.671857878367E-02
-1.0910372E-02,1.883563252938E-02,-8.39251985261E-01,3.671649907051E-02
-1.0910188E-02,1.883478290009E-02,-8.39226299385E-01,3.671814752543E-02
-1.0910004E-02,1.883233289773E-02,-8.39184760069E-01,3.671435912406E-02
-1.0909820E-02,1.883379156425E-02,-8.39194329409E-01,3.671634231029E-02
-1.0909636E-02,1.883428868096E-02,-8.39442438399E-01,3.671674735645E-02
-1.0909452E-02,1.883359306332E-02,-8.39116487140E-01,3.671815636368E-02
-1.0909268E-02,1.883425727676E-02,-8.39687208598E-01,3.671791379606E-02
-1.0909084E-02,1.883506874860E-02,-8.39610292995E-01,3.671730730949E-02
-1.0908900E-02,1.883414912576E-02,-8.39352083812E-01,3.671632028917E-02
-1.0908716E-02,1.883222688877E-02,-8.39339604089E-01,3.671746396260E-02
-1.0908532E-02,1.883352274265E-02,-8.39659150178E-01,3.671796845539E-02
-1.0908348E-02,1.883696835328E-02,-8.39544688305E-01,3.671724138582E-02
-1.0908164E-02,1.883512240326E-02,-8.39570758352E-01,3.671764759148E-02
-1.0907980E-02,1.883358771986E-02,-8.39832189912E-01,3.671882116502E-02
-1.0907796E-02,1.883312227510E-02,-8.39349180413E-01,3.671757743495E-02
-1.0907612E-02,1.883270429986E-02,-8.39591212524E-01,3.671645816682E-02
-1.0907428E-02,1.883251271400E-02,-8.39566970197E-01,3.671616065117E-02
-1.0907244E-02,1.883406033347E-02,-8.39506690344E-01,3.671361548627E-02
-1.0907060E-02,1.883664807494E-02,-8.39720268222E-01,3.671431424828E-02
-1.0906876E-02,1.883954777572E-02,-8.39558478864E-01,3.671401859062E-02
-1.0906692E-02,1.883621264555E-02,-8.39789134869E-01,3.671653485192E-02
-1.0906508E-02,1.883641027919E-02,-8.39639569120E-01,3.671714309869E-02
-1.0906324E-02,1.883497491319E-02,-8.39853060851E-01,3.671632252434E-02
-1.0906140E-02,1.883691857875E-02,-8.39851994487E-01,3.671758571440E-02
-1.0905956E-02,1.883357678497E-02,-8.39946016157E-01,3.671747065881E-02
-1.0905772E-02,1.883524881050E-02,-8.39896178758E-01,3.671759622438E-02
-1.0905588E-02,1.883844479992E-02,-8.39829060668E-01,3.671645409694E-02
-1.0905404E-02,1.883900164118E-02,-8.39660963928E-01,3.671654283801E-02
-1.0905220E-02,1.884237049570E-02,-8.39640630828E-01,3.671667509513E-02
-1.0905036E-02,1.884121568947E-02,-8.39483805420E-01,3.671665002858E-02
