in s,C1 in V,C4 in V
-8.1950824E-03,2.091016482612E+01,-3.87370377905E+00
-8.1948992E-03,2.090139586063E+01,-3.83452484277E+00
-8.1947160E-03,2.090376282627E+01,-3.82890110961E+00
-8.1945328E-03,2.093584321955E+01,-3.83920086208E+00
-8.1943496E-03,2.091496672532E+01,-3.85334452041E+00
-8.1941664E-03,2.090999206578E+01,-3.84535329542E+00
-8.1939832E-03,2.090417994237E+01,-3.82041387386E+00
-8.1938000E-03,2.092595785907E+01,-3.83071422004E+00
-8.1936168E-03,2.088337723216E+01,-3.81071155318E+00
-8.1934336E-03,2.091130719570E+01,-3.83948990968E+00
-8.1932504E-03,2.091436386159E+01,-3.87043958656E+00
-8.1930672E-03,2.092349458070E+01,-3.84764142693E+00
-8.1928840E-03,2.088268803483E+01,-3.85200844505E+00
-8.1927008E-03,2.089723956821E+01,-3.80313725802E+00
-8.1925176E-03,2.088952877609E+01,-3.87918325034E+00
-8.1923344E-03,2.090793661358E+01,-3.79866779442E+00
-8.1921512E-03,2.089596544443E+01,-3.81406129929E+00
-8.1919680E-03,2.093223231895E+01,-3.82976331641E+00
-8.1917848E-03,2.091382456528E+01,-3.85051841042E+00
-8.1916016E-03,2.090504603511E+01,-3.82133341520E+00
-8.1914184E-03,2.091714001777E+01,-3.84552611397E+00
-8.1912352E-03,2.091490125800E+01,-3.82339481623E+00
-8.1910520E-03,2.092687384741E+01,-3.79985264628E+00
-8.1908688E-03,2.090693199592E+01,-3.83368902733E+00
-8.1906856E-03,2.090015107350E+01,-3.84240159658E+00
-8.1905024E-03,2.090919917034E+01,-3.83806318170E+00
-8.1903192E-03,2.092509357309E+01,-3.83910094281E+00
-8.1901360E-03,2.093685375111E+01,-3.85404970623E+00
-8.1899528E-03,2.092083667455E+01,-3.81984655871E+00
-8.1897696E-03,2.091094259689E+01,-3.85226713154E+00
-8.1895864E-03,2.090475169061E+01,-3.78940164703E+00
-8.1894032E-03,2.093224800242E+01,-3.84980502897E+00
-8.1892200E-03,2.090884683704E+01,-3.82100766185E+00
-8.1890368E-03,2.092564655984E+01,-3.84140272983E+00
-8.1888536E-03,2.090600090617E+01,-3.85853098598E+00
-8.1886704E-03,2.089905522348E+01,-3.81536896932E+00
-8.1884872E-03,2.091962225320E+01,-3.85346583682E+00
-8.1883040E-03,2.091577823790E+01,-3.86829558886E+00
-8.1881208E-03,2.091087053115E+01,-3.83555645715E+00
-8.1879376E-03,2.092540352190E+01,-3.81935104853E+00
-8.1877544E-03,2.089332168506E+01,-3.82663974199E+00
-8.1875712E-03,2.092564370533E+01,-3.87454158519E+00
-8.1873880E-03,2.092004081285E+01,-3.88395028315E+00
-8.1872048E-03,2.089974215770E+01,-3.83787823268E+00
-8.1870216E-03,2.091141084259E+01,-3.86361939493E+00
-8.1868384E-03,2.090207259687E+01,-3.80299187857E+00
-8.1866552E-03,2.091157174720E+01,-3.81288088285E+00
-8.1864720E-03,2.092475228062E+01,-3.84786507240E+00
-8.1862888E-03,2.090136198377E+01,-3.85528999506E+00
-8.1861056E-03,2.090893359905E+01,-3.77299017166E+00
-8.1859224E-03,2.091258022519E+01,-3.85435747341E+00
-8.1857392E-03,2.093438032599E+01,-3.86661366685E+00
-8.1855560E-03,2.092199022001E+01,-3.88337203660E+00
-8.1853728E-03,2.088687221104E+01,-3.83612175831E+00
